property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-drugs_destruction
title,"Сведения об уничтожении недоброкачественных, фальсифицированных и контрафактных лекарственных средств"
description,"Сведения об уничтожении недоброкачественных, фальсифицированных и контрафактных лекарственных средств"
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20180615
modified,20210919
provenance,
valid,20210926
subject,"Уничтожение недоброкачественных, фальсифицированных и контрафактных лекарственных средств"
data-20210919-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210919-structure-20180615.csv
data-20210912-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210912-structure-20180615.csv
data-20210905-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210905-structure-20180615.csv
data-20210829-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210829-structure-20180615.csv
data-20210822-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210822-structure-20180615.csv
data-20210815-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210815-structure-20180615.csv
data-20210808-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210808-structure-20180615.csv
data-20210801-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210801-structure-20180615.csv
data-20210725-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210725-structure-20180615.csv
data-20210718-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/data-20210718-structure-20180615.csv
structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-drugs_destruction/structure-20180615.csv
