property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-importcellnew
title,"Реестр заключений на ввоз (вывоз) в РФ органов и тканей человека, крови и ее компонентов, образцов биологических материалов человека, выданных с 01.06.2016"
description,"Реестр заключений на ввоз (вывоз) в РФ органов и тканей человека, крови и ее компонентов, образцов биологических материалов человека"
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20170404
modified,20210919
provenance,"Набор содержит перечень заключений на ввоз (вывоз) в РФ органов и тканей человека, крови и ее компонентов, образцов биологических материалов человека, выданных с 01.06.2016, актуализируемый еженедельно."
valid,20210926
subject,"реестр разрешений, ввоз органов и тканей, заявитель, дата, номер, вид решения"
data-20210919-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210919-structure-20170314.csv
data-20210912-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210912-structure-20170314.csv
data-20210905-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210905-structure-20170314.csv
data-20210829-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210829-structure-20170314.csv
data-20210822-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210822-structure-20170314.csv
data-20210815-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210815-structure-20170314.csv
data-20210808-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210808-structure-20170314.csv
data-20210801-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210801-structure-20170314.csv
data-20210725-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210725-structure-20170314.csv
data-20210718-structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/data-20210718-structure-20170314.csv
structure-20170314,http://roszdravnadzor.ru/opendata/7710537160-importcellnew/structure-20170314.csv
