property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-importmed
title,"Информация о выданных разрешениях на ввоз медицинских изделий на территорию РФ"
description,"Информация о выданных разрешениях на ввоз медицинских изделий на территорию РФ"
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20161011
modified,20210919
provenance,"Набор содержит всю информацию о выданных разрешениях на ввоз медицинских изделий на территорию РФ, актуализируемую еженедельно."
valid,20210926
subject,"реестр разрешений, ввоз медицинских изделий, заявитель, дата, номер, вид решения"
data-20210919-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210919-structure-20161010.csv
data-20210912-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210912-structure-20161010.csv
data-20210905-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210905-structure-20161010.csv
data-20210829-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210829-structure-20161010.csv
data-20210822-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210822-structure-20161010.csv
data-20210815-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210815-structure-20161010.csv
data-20210808-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210808-structure-20161010.csv
data-20210801-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210801-structure-20161010.csv
data-20210725-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210725-structure-20161010.csv
data-20210718-structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/data-20210718-structure-20161010.csv
structure-20161010,http://roszdravnadzor.ru/opendata/7710537160-importmed/structure-20161010.csv
