property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-medproducts
title,"Государственный реестр медицинских изделий и организаций, осуществляющих производство и изготовление медицинских изделий"
description,"Государственный реестр медицинских изделий и организаций, осуществляющих производство и изготовление медицинских изделий"
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20150601
modified,20210919
provenance,"Обновление набора данных"
valid,20210926
subject,"реестр медицинских изделий"
data-20210919-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210919-structure-20150601.zip
data-20210912-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210912-structure-20150601.zip
data-20210905-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210905-structure-20150601.zip
data-20210829-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210829-structure-20150601.zip
data-20210822-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210822-structure-20150601.zip
data-20210815-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210815-structure-20150601.zip
data-20210808-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210808-structure-20150601.zip
data-20210801-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210801-structure-20150601.zip
data-20210725-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210725-structure-20150601.zip
data-20210718-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/data-20210718-structure-20150601.zip
structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-medproducts/structure-20150601.csv
