property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-mi_types
title,"Номенклатурная классификация медицинских изделий по видам в xml (по национальному законодательству)"
description,"Номенклатурная классификация медицинских изделий по видам в xml (по национальному законодательству)"
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,XML
created,20180615
modified,20210901
provenance,
valid,20211001
subject,"Номенклатурная классификация медицинских изделий, Росздравнадзор"
data-20210901-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210901-structure-20180615.zip
data-20210801-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210801-structure-20180615.zip
data-20210701-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210701-structure-20180615.zip
data-20210601-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210601-structure-20180615.zip
data-20210501-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210501-structure-20180615.zip
data-20210401-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210401-structure-20180615.zip
data-20210301-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210301-structure-20180615.zip
data-20210201-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210201-structure-20180615.zip
data-20210101-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20210101-structure-20180615.zip
data-20201201-structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/data-20201201-structure-20180615.zip
structure-20180615,http://roszdravnadzor.ru/opendata/7710537160-mi_types/structure-20180615.xsd
