property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-order
title,"План-график размещения заказов на поставку товаров, выполнение работ, оказание услуг для обеспечения государственных и муниципальных нужд"
description,"План-график размещения заказов на поставку товаров, выполнение работ, оказание услуг для обеспечения государственных и муниципальных нужд. Ежегодно, на текущий год."
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20150821
modified,20200524
provenance,"План-график размещения заказов на поставку товаров, выполнение работ, оказание услуг для обеспечения государственных и муниципальных нужд на 2020 год. Набор данных обновляется по мере необходимости"
valid,20210203
subject,"план-график, закупка товаров и услуг для государственных нужд, предмет, требования, максимальная стоимость, срок исполнения контракта"
data-20200524-structure-20180315,http://roszdravnadzor.ru/opendata/7710537160-order/data-20200524-structure-20180315.csv
data-20190513-structure-20180315,http://roszdravnadzor.ru/opendata/7710537160-order/data-20190513-structure-20180315.csv
data-20180315-structure-20180315,http://roszdravnadzor.ru/opendata/7710537160-order/data-20180315-structure-20180315.csv
data-20160425-structure-20150821,http://roszdravnadzor.ru/opendata/7710537160-order/data-20160425-structure-20150821.csv
data-20150821-structure-20150821,http://roszdravnadzor.ru/opendata/7710537160-order/data-20150821-structure-20150821.csv
structure-20180315,http://roszdravnadzor.ru/opendata/7710537160-order/structure-20180315.csv
structure-20160518,http://roszdravnadzor.ru/opendata/7710537160-order/structure-20160518.csv
structure-20150821,http://roszdravnadzor.ru/opendata/7710537160-order/structure-20150821.csv
