property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-organizations
title,"Перечень медицинских организаций, имеющих право проводить клинические исследования медицинских изделий"
description,"Перечень медицинских организаций, имеющих право проводить клинические исследования медицинских изделий"
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20160115
modified,20210919
provenance,"Актуализация всего перечня медицинских организаций, имеющих право проводить клинические исследования медицинских изделий"
valid,20210926
subject,"перечень, медицинские организации, дата включения в перечень, контакты"
data-20210919-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210919-structure-20191004.csv
data-20210912-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210912-structure-20191004.csv
data-20210905-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210905-structure-20191004.csv
data-20210829-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210829-structure-20191004.csv
data-20210822-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210822-structure-20191004.csv
data-20210815-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210815-structure-20191004.csv
data-20210808-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210808-structure-20191004.csv
data-20210801-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210801-structure-20191004.csv
data-20210725-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210725-structure-20191004.csv
data-20210718-structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/data-20210718-structure-20191004.csv
structure-20191004,http://roszdravnadzor.ru/opendata/7710537160-organizations/structure-20191004.csv
structure-20160518,http://roszdravnadzor.ru/opendata/7710537160-organizations/structure-20160518.csv
structure-20160115,http://roszdravnadzor.ru/opendata/7710537160-organizations/structure-20160115.csv
