property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-protection
title,"Информация об Общественном совете по защите прав пациентов при Росздравнадзоре (состав совета)"
description,"Информация об Общественном совете по защите прав пациентов при Росздравнадзоре (состав совета)"
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20160115
modified,20200428
provenance,"Набор данных содержит информацию о составе Общественного совета по защите прав пациентов при Федеральной службе по надзору в сфере здравоохранения. Набор данных обновляется по мере необходимости."
valid,20210105
subject,"Общественный совет, состав, ФИО, должность"
data-20200428-structure-20160518,http://roszdravnadzor.ru/opendata/7710537160-protection/data-20200428-structure-20160518.csv
data-20180618-structure-20160518,http://roszdravnadzor.ru/opendata/7710537160-protection/data-20180618-structure-20160518.csv
data-20160115-structure-20160115,http://roszdravnadzor.ru/opendata/7710537160-protection/data-20160115-structure-20160115.csv
structure-20160518,http://roszdravnadzor.ru/opendata/7710537160-protection/structure-20160518.csv
structure-20160115,http://roszdravnadzor.ru/opendata/7710537160-protection/structure-20160115.csv
