property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-stat503
title,"Сведения об осуществлении государственного контроля (надзора) и муниципального контроля за период (приказ Росстата № 503)"
description,"Сведения об осуществлении государственного контроля (надзора) и муниципального контроля за период (приказ Росстата № 503). За пол года нарастающим итогом."
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20150201
modified,20210914
provenance,"Обновление набора данных"
valid,20220314
subject,"cведения об осуществлении государственного и муниципального контроля, приказ № 503"
data-20210914-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20210914-structure-20150601.csv
data-20210301-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20210301-structure-20150601.csv
data-20200823-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20200823-structure-20150601.csv
data-20200311-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20200311-structure-20150601.csv
data-20190803-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20190803-structure-20150601.csv
data-20190204-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20190204-structure-20150601.csv
data-20180719-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20180719-structure-20150601.csv
data-20180126-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20180126-structure-20150601.csv
data-20180119-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20180119-structure-20150601.csv
data-20170719-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/data-20170719-structure-20150601.csv
structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-stat503/structure-20150601.csv
