property,value
standardversion,http://opendata.gosmonitor.ru/standard/3.0
identifier,7710537160-vacancy
title,"Сведения о вакантных должностях государственной гражданской службы, имеющихся в Росздравнадзоре"
description,"Сведения о вакантных должностях Росздравнадзора и его территориальных органов"
creator,"Росздравнадзор"
publishername,"Мухитдинов Рустам Эркинович"
publisherphone,(499) 578-06-86
publishermbox,"opendata@roszdravnadzor.gov.ru"
format,CSV
created,20130725
modified,20210412
provenance,"набор данных обновляется по мере необходимости"
valid,20220401
subject,"вакансии, вакантные должности, вакантные должности Росздравнадзора"
data-20210412-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20210412-structure-20150601.csv
data-20200708-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20200708-structure-20150601.csv
data-20190124-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20190124-structure-20150601.csv
data-20181115-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20181115-structure-20150601.csv
data-20180912-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20180912-structure-20150601.csv
data-20180704-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20180704-structure-20150601.csv
data-20170220-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20170220-structure-20150601.csv
data-20170219-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20170219-structure-20150601.csv
data-20170726-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20170726-structure-20150601.csv
data-20170322-structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/data-20170322-structure-20150601.csv
structure-20150601,http://roszdravnadzor.ru/opendata/7710537160-vacancy/structure-20150601.csv
